alpha_taste,alpha_pantry,alpha_nutrition,recall@10,useful_recall@10,useful_rate@10,feasible_rate@10,near_rate@10
0.15,0.8,0.05,0.0175,0.0,0.0,0.8796000000000117,0.0
0.15,0.85,0.0,0.0165,0.0,0.0,0.9025000000000075,0.0
0.2,0.0,0.8,0.0145,0.0,5e-05,0.2155500000000004,5e-05
0.2,0.05,0.75,0.0145,0.0,5e-05,0.2332000000000006,5e-05
0.2,0.1,0.7,0.015,0.0,5e-05,0.2786499999999987,5e-05
0.2,0.15,0.65,0.0145,0.0,5e-05,0.33444999999999747,5e-05
0.2,0.2,0.6,0.016,0.0,5e-05,0.36069999999999575,5e-05
0.2,0.25,0.55,0.018,0.0,5e-05,0.4341499999999966,5e-05
0.2,0.3,0.5,0.0195,0.0,5e-05,0.49625000000000064,5e-05
0.2,0.35,0.45,0.02,0.0,5e-05,0.5320500000000032,5e-05
0.2,0.4,0.4,0.0185,0.0,5e-05,0.5671500000000038,5e-05
0.2,0.45,0.35,0.0175,0.0,5e-05,0.6505000000000059,5e-05
0.2,0.5,0.3,0.0185,0.0,5e-05,0.769100000000003,5e-05
0.2,0.55,0.25,0.0185,0.0,0.0,0.799600000000005,0.0
0.2,0.6,0.2,0.019,0.0,0.0,0.832800000000008,0.0
0.2,0.65,0.15,0.0185,0.0,0.0,0.8478000000000091,0.0
0.2,0.7,0.1,0.0185,0.0,0.0,0.8600000000000101,0.0
0.2,0.75,0.05,0.018,0.0,0.0,0.8709500000000118,0.0
0.2,0.8,0.0,0.017,0.0,0.0,0.8848500000000106,0.0
0.25,0.0,0.75,0.016,0.0,5e-05,0.21420000000000072,5e-05
0.25,0.05,0.7,0.016,0.0,5e-05,0.23425000000000074,5e-05
0.25,0.1,0.65,0.0165,0.0,5e-05,0.2781999999999991,5e-05
0.25,0.15,0.6,0.0175,0.0,5e-05,0.35319999999999596,5e-05
0.25,0.2,0.55,0.0195,0.0,5e-05,0.370249999999995,5e-05
0.25,0.25,0.5,0.0215,0.0,5e-05,0.4709499999999982,5e-05
0.25,0.3,0.45,0.0235,0.0,5e-05,0.509250000000001,5e-05
0.25,0.35,0.4,0.0225,0.0,5e-05,0.5377500000000018,5e-05
0.25,0.4,0.35,0.022,0.0,5e-05,0.5987500000000028,5e-05
0.25,0.45,0.3,0.021,0.0,5e-05,0.7054499999999976,5e-05
0.25,0.5,0.25,0.02,0.0,0.0,0.762799999999996,0.0
0.25,0.55,0.2,0.019,0.0,0.0,0.8095500000000043,0.0
0.25,0.6,0.15,0.0175,0.0,0.0,0.8347000000000062,0.0
0.25,0.65,0.1,0.018,0.0,0.0,0.8493000000000077,0.0
0.25,0.7,0.05,0.018,0.0,0.0,0.8616500000000106,0.0
0.25,0.75,0.0,0.0175,0.0,0.0,0.8784000000000106,0.0
0.3,0.0,0.7,0.018,0.0,5e-05,0.21000000000000082,5e-05
0.3,0.05,0.65,0.018,0.0,5e-05,0.2311000000000009,5e-05
0.3,0.1,0.6,0.0185,0.0,5e-05,0.2745499999999989,5e-05
0.3,0.15,0.55,0.0175,0.0,5e-05,0.3556499999999962,5e-05
0.3,0.2,0.5,0.02,0.0,5e-05,0.3760499999999954,5e-05
0.3,0.25,0.45,0.023,0.0,5e-05,0.48304999999999887,5e-05
0.3,0.3,0.4,0.023,0.0,5e-05,0.5182000000000013,5e-05
0.3,0.35,0.35,0.0225,0.0,5e-05,0.5636000000000031,5e-05
0.3,0.4,0.3,0.0235,0.0,5e-05,0.6406000000000033,5e-05
0.3,0.45,0.25,0.0235,0.0,5e-05,0.7304999999999977,5e-05
0.3,0.5,0.2,0.0215,0.0,0.0,0.7708499999999963,0.0
0.3,0.55,0.15,0.02,0.0,0.0,0.8003499999999981,0.0
0.3,0.6,0.1,0.0185,0.0,0.0,0.82295,0.0
0.3,0.65,0.05,0.019,0.0,0.0,0.8365500000000006,0.0
0.3,0.7,0.0,0.0185,0.0,0.0,0.8473500000000016,0.0
0.35,0.0,0.65,0.0185,0.0,5e-05,0.2069000000000007,5e-05
0.35,0.05,0.6,0.0195,0.0,5e-05,0.22750000000000103,5e-05
0.35,0.1,0.55,0.0195,0.0,5e-05,0.2740499999999991,5e-05
0.35,0.15,0.5,0.0205,0.0,5e-05,0.3578499999999961,5e-05
0.35,0.2,0.45,0.023,0.0,5e-05,0.39289999999999564,5e-05
0.35,0.25,0.4,0.0235,0.0,5e-05,0.49214999999999964,5e-05
0.35,0.3,0.35,0.0235,0.0,5e-05,0.5372500000000034,5e-05
0.35,0.35,0.3,0.0245,0.0,5e-05,0.5861500000000026,5e-05
0.35,0.4,0.25,0.0245,0.0,5e-05,0.684549999999998,5e-05
0.35,0.45,0.2,0.023,0.0,0.0,0.7456999999999968,0.0
0.35,0.5,0.15,0.0225,0.0,0.0,0.7826999999999966,0.0
0.35,0.55,0.1,0.0195,0.0,0.0,0.8074999999999996,0.0
0.35,0.6,0.05,0.0195,0.0,0.0,0.8222000000000008,0.0
0.35,0.65,0.0,0.0195,0.0,0.0,0.8347000000000018,0.0
0.4,0.0,0.6,0.0195,0.0,5e-05,0.2090000000000008,5e-05
0.4,0.05,0.55,0.0205,0.0,5e-05,0.22855000000000084,5e-05
0.4,0.1,0.5,0.023,0.0,5e-05,0.28269999999999984,5e-05
0.4,0.15,0.45,0.021,0.0,5e-05,0.3662499999999959,5e-05
0.4,0.2,0.4,0.023,0.0,5e-05,0.449849999999997,5e-05
0.4,0.25,0.35,0.0245,0.0,5e-05,0.5089000000000007,5e-05
0.4,0.3,0.3,0.0235,0.0,5e-05,0.5599000000000036,5e-05
0.4,0.35,0.25,0.023,0.0,5e-05,0.6113000000000021,5e-05
0.4,0.4,0.2,0.025,0.0,0.0,0.7069999999999977,0.0
0.4,0.45,0.15,0.023,0.0,0.0,0.757599999999997,0.0
0.4,0.5,0.1,0.0215,0.0,0.0,0.7891999999999968,0.0
0.4,0.55,0.05,0.0205,0.0,0.0,0.8115500000000004,0.0
0.4,0.6,0.0,0.0195,0.0,0.0,0.8254000000000009,0.0
0.45,0.0,0.55,0.0205,0.0,5e-05,0.215850000000001,5e-05
0.45,0.05,0.5,0.0205,0.0,5e-05,0.23640000000000083,5e-05
0.45,0.1,0.45,0.022,0.0,5e-05,0.298849999999999,5e-05
0.45,0.15,0.4,0.023,0.0,5e-05,0.3790999999999968,5e-05
0.45,0.2,0.35,0.025,0.0,5e-05,0.48514999999999936,5e-05
0.45,0.25,0.3,0.025,0.0,5e-05,0.5338000000000036,5e-05
0.45,0.3,0.25,0.025,0.0,5e-05,0.5735000000000023,5e-05
0.45,0.35,0.2,0.0245,0.0,5e-05,0.6396500000000006,5e-05
0.45,0.4,0.15,0.025,0.0,0.0,0.7209499999999962,0.0
0.45,0.45,0.1,0.023,0.0,0.0,0.7618999999999955,0.0
0.45,0.5,0.05,0.0215,0.0,0.0,0.7914999999999973,0.0
0.45,0.55,0.0,0.021,0.0,0.0,0.8126499999999991,0.0
0.5,0.0,0.5,0.02,0.0,5e-05,0.22010000000000104,5e-05
0.5,0.05,0.45,0.0215,0.0,5e-05,0.2354000000000011,5e-05
0.5,0.1,0.4,0.0225,0.0,5e-05,0.3248499999999983,5e-05
0.5,0.15,0.35,0.0245,0.0,5e-05,0.3930499999999966,5e-05
0.5,0.2,0.3,0.025,0.0,5e-05,0.5101000000000017,5e-05
0.5,0.25,0.25,0.026,0.0,5e-05,0.5491500000000035,5e-05
0.5,0.3,0.2,0.0265,0.0,5e-05,0.5909500000000019,5e-05
0.5,0.35,0.15,0.026,0.0,0.0,0.6611999999999998,0.0
0.5,0.4,0.1,0.025,0.0,0.0,0.7339999999999959,0.0
0.5,0.45,0.05,0.0225,0.0,0.0,0.7639999999999961,0.0
0.5,0.5,0.0,0.0205,0.0,0.0,0.7966999999999971,0.0
0.55,0.0,0.45,0.022,0.0,5e-05,0.22460000000000116,5e-05
0.55,0.05,0.4,0.025,0.0,5e-05,0.24485000000000112,5e-05
0.55,0.1,0.35,0.024,0.0,5e-05,0.34574999999999795,5e-05
0.55,0.15,0.3,0.026,0.0,5e-05,0.43409999999999793,5e-05
0.55,0.2,0.25,0.025,0.0,5e-05,0.5241000000000021,5e-05
0.55,0.25,0.2,0.0275,0.0,5e-05,0.5586000000000029,5e-05
0.55,0.3,0.15,0.0265,0.0,0.0,0.6139500000000019,0.0
0.55,0.35,0.1,0.0275,0.0,0.0,0.6755500000000002,0.0
0.55,0.4,0.05,0.024,0.0,0.0,0.7436499999999967,0.0
0.55,0.45,0.0,0.0205,0.0,0.0,0.7711999999999959,0.0
0.6,0.0,0.4,0.0245,0.0,5e-05,0.2327500000000011,5e-05
0.6,0.05,0.35,0.025,0.0,5e-05,0.24900000000000133,5e-05
0.6,0.1,0.3,0.0255,0.0,5e-05,0.3589999999999983,5e-05
0.6,0.15,0.25,0.0255,0.0,5e-05,0.46984999999999905,5e-05
0.6,0.2,0.2,0.026,0.0,5e-05,0.5286000000000016,5e-05
0.6,0.25,0.15,0.026,0.0,0.0,0.5725500000000027,0.0
0.6,0.3,0.1,0.027,0.0,0.0,0.6323000000000013,0.0
0.6,0.35,0.05,0.0265,0.0,0.0,0.6839500000000002,0.0
0.6,0.4,0.0,0.021,0.0,0.0,0.7469499999999968,0.0
0.65,0.0,0.35,0.024,0.0,5e-05,0.24120000000000116,5e-05
0.65,0.05,0.3,0.027,0.0,5e-05,0.26360000000000106,5e-05
0.65,0.1,0.25,0.0255,0.0,5e-05,0.3725499999999979,5e-05
0.65,0.15,0.2,0.0245,0.0,5e-05,0.4938500000000001,5e-05
0.65,0.2,0.15,0.0265,0.0,0.0,0.5337500000000015,0.0
0.65,0.25,0.1,0.0265,0.0,0.0,0.5839000000000016,0.0
0.65,0.3,0.05,0.0265,0.0,0.0,0.6412500000000011,0.0
0.65,0.35,0.0,0.0275,0.0,0.0,0.6883500000000007,0.0
0.7,0.0,0.3,0.027,0.0,5e-05,0.2501000000000008,5e-05
0.7,0.05,0.25,0.03,0.0,5e-05,0.29185,5e-05
0.7,0.1,0.2,0.0255,0.0,5e-05,0.39609999999999684,5e-05
0.7,0.15,0.15,0.0265,0.0,5e-05,0.48644999999999894,5e-05
0.7,0.2,0.1,0.0255,0.0,0.0,0.5311499999999998,0.0
0.7,0.25,0.05,0.026,0.0,0.0,0.591550000000002,0.0
0.7,0.3,0.0,0.027,0.0,0.0,0.6434000000000013,0.0
0.75,0.0,0.25,0.028,0.0,5e-05,0.27685,5e-05
0.75,0.05,0.2,0.028,0.0,5e-05,0.30774999999999986,5e-05
0.75,0.1,0.15,0.026,0.0,5e-05,0.40059999999999707,5e-05
0.75,0.15,0.1,0.025,0.0,0.0,0.4914499999999989,0.0
0.75,0.2,0.05,0.025,0.0,0.0,0.5341999999999997,0.0
0.75,0.25,0.0,0.026,0.0,0.0,0.594950000000002,0.0
0.8,0.0,0.2,0.028,0.0,5e-05,0.2953000000000001,5e-05
0.8,0.05,0.15,0.0275,0.0,5e-05,0.31810000000000066,5e-05
0.8,0.1,0.1,0.026,0.0,0.0,0.4131999999999971,0.0
0.8,0.15,0.05,0.0245,0.0,0.0,0.49444999999999895,0.0
0.8,0.2,0.0,0.0255,0.0,0.0,0.5388000000000003,0.0
0.85,0.0,0.15,0.026,0.0,5e-05,0.3087500000000005,5e-05
0.85,0.05,0.1,0.027,0.0,0.0,0.32215000000000027,0.0
0.85,0.1,0.05,0.0235,0.0,0.0,0.42524999999999735,0.0
0.85,0.15,0.0,0.023,0.0,0.0,0.5018999999999997,0.0
0.9,0.0,0.1,0.026,0.0,5e-05,0.3121000000000003,5e-05
0.9,0.05,0.05,0.026,0.0,0.0,0.33285000000000003,0.0
0.9,0.1,0.0,0.025,0.0,0.0,0.4322499999999962,0.0
0.95,0.0,0.05,0.0265,0.0,0.0,0.32420000000000015,0.0
0.95,0.05,0.0,0.025,0.0,0.0,0.35179999999999834,0.0
1.0,0.0,0.0,0.027,0.0,0.0,0.34054999999999946,0.0
